temp,dataset_or_rollup,comparison,metric,n,delta_pct,ci_low,ci_high
0.0,GSM8K,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,-0.9426272724938456,-3.835650156407544,2.2054831839011246
0.0,GSM8K,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,44.48525280332767,39.04207288845589,49.97462016994596
0.0,GSM8K,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,44.51228615292615,39.24754112331601,50.03068410880562
0.0,GSM8K,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,50.67937494864345,44.58456513574922,57.15973244187404
0.0,MATH-500,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,2.097012181257729,-0.9169947377503873,5.406501528183738
0.0,MATH-500,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,20.828693132747823,16.26216791273287,25.544839438883436
0.0,MATH-500,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,20.808415263981427,16.013522194428198,25.756769207651974
0.0,MATH-500,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,24.403911373688047,18.315436201158207,30.96995588228846
0.0,AIME25,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),29,4.810026085187369,1.4200500701000207,8.409935657318602
0.0,AIME25,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),30,17.125299504892766,11.947200209934316,22.485626391160384
0.0,AIME25,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),30,16.797346153406846,11.64883602130331,22.095518491533195
0.0,AIME25,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),30,13.312948977937156,9.039104059189086,17.65329657260184
0.0,HumanEval,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,1.7366687415774962,-1.7097245669833616,5.557463739649071
0.0,HumanEval,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,15.794111544207755,12.0951742342017,19.739880452321046
0.0,HumanEval,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,15.847387835417104,12.237742437830157,19.554658683500502
0.0,HumanEval,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,21.621799614785743,16.697824762705316,26.9093635033554
0.0,MBPP,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,4.554839747874984,0.9815396812562938,8.446446928500407
0.0,MBPP,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,22.862067808419305,18.245720695953736,27.508212992423186
0.0,MBPP,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,22.41718184653303,17.996344245059337,26.79393114138724
0.0,MBPP,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,25.38329446758487,19.59866998637656,31.371600601675766
0.0,LCB,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,3.6523695330968,-0.07688123908907718,8.109781603956566
0.0,LCB,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,10.824436128233472,5.362751064095783,16.980578264245196
0.0,LCB,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,10.410210307953992,4.775079044423514,16.543505106361312
0.0,LCB,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,15.826483282980996,8.427269137998827,24.083019759188986
0.0,MT-Bench,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),98,10.171794491126462,7.2705266725402895,13.228603191564424
0.0,MT-Bench,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),100,29.98027111139061,26.286135973961457,33.7262275513111
0.0,MT-Bench,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),100,29.514082889409288,25.807720870582983,33.42126286329854
0.0,MT-Bench,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),100,40.6955786039032,35.84556887883179,46.02881098633831
0.0,Alpaca,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),49,12.658469902476654,7.88666395418034,17.519051072265878
0.0,Alpaca,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),50,29.53435504715911,21.934821618392885,37.71678711366935
0.0,Alpaca,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),50,29.503882155632443,21.591170923939917,37.77006228876243
0.0,Alpaca,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),50,52.63627965509268,43.0006410140088,62.414059620095344
0.0,Math,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),127,1.33114303279811,-0.5623964069395138,3.3016737540531027
0.0,Math,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),130,28.566172019402302,24.98036293849357,32.33029209658183
0.0,Math,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),130,28.4868802918794,24.820673145485863,32.28999876471741
0.0,Math,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),130,31.13132374190679,26.861089185091846,35.60887225010412
0.0,Code,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),147,3.2809241286605006,1.094772832477009,5.588320920895717
0.0,Code,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),150,16.112714880657908,13.315850720469147,19.121114972704678
0.0,Code,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),150,15.846898258526654,13.110945049950672,18.68940673417667
0.0,Code,DominoTree (16) vs DFlash,speedup-over-own-AR (cross harness),150,20.681883472564387,16.83378325967586,24.690851550470818
0.0,Chat,DominoTree (16) vs Domino,raw per-prompt TPS (shared lean common AR),147,10.868331596579917,8.398010967351887,13.501398955331068
0.0,Chat,DominoTree (16) vs DDTree@16,speedup-over-own-AR (cross harness),150,29.85456602635923,26.38809868162435,33.38828591129197
0.0,Chat,DominoTree (16) vs CaDDTree,speedup-over-own-AR (cross harness),150,29.5112142003922,25.93756286777813,33.04762198119482
