temp,dataset,model,harness,method,speedup,tau,tps,n
0.0,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.49282155550288,50.0
0.0,math500,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.449483090829068,50.0
0.0,aime25,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.103490589254148,30.0
0.0,humaneval,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.331979278007937,50.0
0.0,mbpp,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.387793614861502,50.0
0.0,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.279368001701972,50.0
0.0,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.432196941030016,100.0
0.0,alpaca,Qwen3-8B,baseline_ddtree_caddtree,AR,1.0,1.0,15.707060967886315,50.0
0.0,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,DFlash,4.862908118158456,6.582718859223288,75.34016771543529,50.0
0.0,math500,Qwen3-8B,baseline_ddtree_caddtree,DFlash,5.7249015617166,7.767527067581833,88.44676987440154,50.0
0.0,aime25,Qwen3-8B,baseline_ddtree_caddtree,DFlash,5.2820605483308185,7.252835101530592,79.77755178358512,30.0
0.0,humaneval,Qwen3-8B,baseline_ddtree_caddtree,DFlash,4.872989093897416,6.635098642065278,74.71256780959385,50.0
0.0,mbpp,Qwen3-8B,baseline_ddtree_caddtree,DFlash,4.458077031329627,6.028086219513599,68.59996927725476,50.0
0.0,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,DFlash,5.240809120879799,7.285109588801584,80.07625118459865,50.0
0.0,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,DFlash,3.0625522733524475,4.273216774132838,47.26190982457416,100.0
0.0,alpaca,Qwen3-8B,baseline_ddtree_caddtree,DFlash,2.2056540307128176,3.1265807418831724,34.64434233447042,50.0
0.0,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.067791003983414,7.421509469606803,78.51438170529782,50.0
0.0,math500,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.888370184161129,8.651951194544754,90.97227559273941,50.0
0.0,aime25,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.1082334772490015,7.6848619955600945,77.15215625134329,30.0
0.0,humaneval,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.116858427410915,7.578726692106493,78.45156737756443,50.0
0.0,mbpp,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,4.548067112717098,6.7882398532469495,69.98471807702975,50.0
0.0,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,5.478709620927568,8.218645478898429,83.71122047261743,50.0
0.0,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,3.313683197017102,5.013254688114421,51.13741169654988,100.0
0.0,alpaca,Qwen3-8B,baseline_ddtree_caddtree,DDTree@16,2.5989133329777427,3.939696905556405,40.821290171334034,50.0
0.0,gsm8k,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.066692382755895,7.414822539515617,78.49736096266278,50.0
0.0,math500,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.88851120987601,8.651492047878332,90.97445436713683,50.0
0.0,aime25,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.121041964130064,7.7010847286330995,77.345609112414,30.0
0.0,humaneval,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.113081716354512,7.583990213318438,78.39366292190863,50.0
0.0,mbpp,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,4.563226859817871,6.7882398532469495,70.21799313666995,50.0
0.0,livecodebench,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,5.49787343281657,8.218645478898429,84.00403140678488,50.0
0.0,mt-bench,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,3.324897185598004,5.018447148431882,51.31046817682483,100.0
0.0,alpaca,Qwen3-8B,baseline_ddtree_caddtree,CaDDTree,2.6007159269381304,3.939696905556405,40.849603624570186,50.0
0.0,gsm8k,Qwen3-8B,domino_official,Domino,7.385956953747175,10.110733616442676,124.08970327293058,49.0
0.0,math500,Qwen3-8B,domino_official,Domino,6.9434877703374855,9.16759902759072,114.42507336480163,49.0
0.0,aime25,Qwen3-8B,domino_official,Domino,5.70109596464677,7.630051185701701,94.4746906047558,29.0
0.0,humaneval,Qwen3-8B,domino_official,Domino,5.823293214522145,7.73069902412534,97.62948445606236,49.0
0.0,mbpp,Qwen3-8B,domino_official,Domino,5.334283180410595,7.128648914227028,90.25048463632169,49.0
0.0,livecodebench,Qwen3-8B,domino_official,Domino,5.916705065263573,7.6096929294609295,96.36235867246894,49.0
0.0,mt-bench,Qwen3-8B,domino_official,Domino,3.9042529945985716,5.172344820120177,64.57274707687193,98.0
0.0,alpaca,Qwen3-8B,domino_official,Domino,2.999187570409824,4.079962496075149,50.250099885519795,49.0
0.0,gsm8k,Qwen3-8B,dominotree,DominoTree (16),7.315283334051533,10.52699457354634,122.90233262452641,50.0
0.0,math500,Qwen3-8B,dominotree,DominoTree (16),7.105313978991719,10.040197874300967,117.09188526252149,50.0
0.0,aime25,Qwen3-8B,dominotree,DominoTree (16),5.986623976716933,8.40627375779703,99.20626691334562,30.0
0.0,humaneval,Qwen3-8B,dominotree,DominoTree (16),5.921998714825476,8.488354104982157,99.28431562334072,50.0
0.0,mbpp,Qwen3-8B,dominotree,DominoTree (16),5.584497632438896,8.025737537872827,94.48385110653363,50.0
